Generation	|	Fitness	|	Max Fitness
123	|	122.93494394495532	|	246.86176196787295
124	|	124.20641125847739	|	253.21314343669908
125	|	120.58793641229124	|	245.83417069504927
126	|	130.5280687457154	|	247.27685085580288
127	|	120.38613293368755	|	247.89223474168804
128	|	124.68886685844423	|	247.24027704108227
129	|	120.18578545565637	|	247.65794147388274
130	|	123.09254924022272	|	247.18944980149226
131	|	114.91631596424239	|	247.63737584457417
132	|	124.4959479978294	|	250.30778841423708
133	|	120.91283264254065	|	247.5067061756362
134	|	121.03655398593932	|	247.99094414762305
135	|	45.99310104264671	|	247.6481125691501
136	|	118.99757087514813	|	247.84545846504471
137	|	123.52080516645648	|	245.88163858041096
138	|	-1163.4434786386757	|	246.09602720181294
139	|	124.83393381682615	|	247.6322405314262
140	|	129.53775470514432	|	247.69047100741983
141	|	-292.39223563730764	|	246.681970106559
142	|	123.86564788263655	|	247.27516515103468
143	|	121.98588336113663	|	245.14899414920419
144	|	125.2925031802552	|	247.46032584215547
145	|	121.29487171356057	|	247.80563880617578
146	|	97.41691678790475	|	246.95746091542534
147	|	101.28488227833454	|	247.45504592984776
148	|	130.2119995662393	|	247.91688576372277
149	|	-58.576901683802646	|	246.70136976528124
150	|	119.78627147334271	|	247.28619484520834
151	|	97.43425386917335	|	247.26656567262197
152	|	93.6422069464688	|	247.24580179541192
153	|	128.06711158713037	|	247.82001619968014
154	|	121.79833636034415	|	247.71100208479436
155	|	129.07939940222712	|	247.4212132851898
156	|	123.77963813272838	|	246.8611697989538
157	|	119.35612455315585	|	247.36537749283286
158	|	119.18142113751615	|	246.34097869694008
159	|	121.87763896479215	|	250.0938256594373
160	|	126.69754067541561	|	250.04018472615823
161	|	124.43868470352369	|	246.31490849055075
162	|	121.75738612032534	|	246.42013709317447
163	|	120.44941118467311	|	247.48382501382014
164	|	124.85866920626982	|	247.56698959492905
165	|	124.08964172667332	|	247.47911465258142
166	|	121.510989124478	|	247.301370285
